Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-284981,06co571,38.65641,-105.65001,22-Jun-06,state land,<0.02,7.08,1.07,3.15,3.03,0.39,1.67,0.03,0.38,<1,4,"1,450",2.6,0.18,0.5,129,10.5,16,<5,15.7,18.5,0.07,65.6,17,912,1.88,25.4,8.2,"1,220",35.4,113,0.39,8.4,2.8,338,<0.1,25.7,0.5,5.4,72,1.5,31.9,82,<0.2
C-290183,06co572,38.65553,-105.11923,21-Jun-06,national forest,<0.02,5.14,0.85,9.42,2.88,0.64,1.32,0.01,0.46,<1,4,606,5.4,0.21,0.1,350,12.2,12,18,37.4,23,0.12,176,48,483,6.13,36.9,11.4,"2,840",43.2,208,0.22,19.8,4.3,89.2,<0.1,48.2,1.2,18.6,84,3.2,169,218,0.5
C-284877,06co573,38.6277,-104.62191,16-Jun-06,idle,0.05,6.88,1.55,2.85,2.7,0.73,0.81,0.05,0.25,<1,15,861,2,0.33,0.9,105,9.1,39,6,23.4,16.2,0.07,51.8,31,447,3.06,21.9,22.6,860,40.3,125,1.41,9.1,2.8,242,0.7,16.1,1,3.7,107,1.5,25.8,112,1
C-285075,06co574,38.60839,-104.33155,16-Jun-06,pasture,<0.02,3.84,0.16,0.46,3.16,0.06,0.66,<0.01,0.07,<1,1,736,1.3,<0.04,<0.1,45,1.3,5,<5,3.5,9.2,<0.02,23,5,121,0.29,8,2.5,160,20.7,121,0.1,1.2,0.8,93.1,<0.1,6.3,0.5,1,11,0.2,10.2,14,<0.2
C-285016,06co575,38.58482,-102.42091,26-Mar-06,pasture,<0.02,4.35,0.77,1.07,2.65,0.21,0.97,0.01,0.12,<1,3,943,1.1,0.05,0.2,40.3,3.2,10,<5,6.1,9.51,<0.02,22.3,8,245,0.56,6.3,6.5,300,18.9,97.7,0.34,2.5,0.8,193,<0.1,11.4,0.4,2.1,31,0.4,9.9,23,<0.2
C-284788,06co576,38.62057,-108.39551,12-Sep-06,BLM,<0.02,3.64,6.09,1.32,1.93,1.55,0.41,0.02,0.15,<1,5,391,1.1,0.1,0.1,43.8,6.1,37,<5,11.8,8.46,0.03,22.6,29,464,0.65,3.9,21.1,360,12,70.6,0.33,6.2,1.1,242,<0.1,6.6,0.4,1.5,34,0.4,12.9,26,<0.2
C-290053,06co577,38.60003,-108.09637,13-Sep-06,agriculture,<0.02,3.03,1.93,1.52,0.9,0.53,0.28,0.1,0.1,<1,6,476,0.8,0.18,0.2,31.2,4.2,15,<5,11.3,5.73,0.03,16.8,24,253,1.11,4,8.5,670,20.5,35.7,0.54,3.6,0.8,191,<0.1,5.1,0.3,1.9,34,0.5,7.8,65,0.7
C-292368,06co578,38.47027,-107.32304,22-Jul-06,BLM,0.02,6.97,1.54,3.15,2.2,0.6,1.31,0.03,0.34,<1,4,749,1.7,0.19,0.5,75.2,10.8,26,5,24.8,15,0.05,35,27,"1,380",1.61,10.7,13.1,940,19.7,87.9,0.55,9.3,1.6,333,<0.1,9.5,0.5,3.2,72,1.2,23.6,94,0.3
C-290141,06co579,38.52121,-107.03979,22-Jul-06,wildlife area,<0.02,8.72,2.61,4.86,2.26,1.06,1.65,0.03,0.44,<1,5,783,2.7,0.21,0.2,81.1,16.3,25,10,14.4,26.5,0.08,41.4,26,"1,240",1.11,13.4,12.5,"1,210",20.7,103,0.63,18.5,2.2,447,<0.1,11.1,0.6,2.5,108,1,32.9,107,<0.2
C-290185,06co580,38.53193,-106.32303,21-Jul-06,national forest,0.04,3.5,15.3,1.49,1.88,2.23,0.91,0.08,0.13,<1,4,448,1.3,0.18,1.4,55.5,4.9,26,<5,21.4,8.16,0.06,27.6,16,640,0.75,7.7,10.6,470,271,71.9,1.11,3.6,1.8,160,0.1,7.7,0.4,2.1,34,3,12.1,391,<0.2
