Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-292467,06co001,40.99933,-108.59914,7-Sep-06,gas field,0.02,6.14,4.16,3.13,1.92,0.73,0.42,0.05,0.18,<1,16,572,1.9,0.24,0.8,70.8,11.9,46,6,20.9,14.5,0.05,33.9,34,857,1.29,9.4,22.4,"1,400",22.4,110,0.67,8.2,1.7,163,<0.1,12.3,0.7,2.3,83,1,18.6,89,0.8
C-292174,06co002,40.99054,-102.51758,16-Mar-06,ranch,<0.02,5.71,1.26,1.54,2.57,0.47,1.2,0.03,0.18,<1,3,743,2.1,0.15,0.3,60.5,5,22,<5,10,11.6,<0.02,33.8,18,358,0.68,10,8.7,610,23.6,97,0.52,5.3,1.3,218,<0.1,10.8,0.6,1.9,42,0.8,16.8,47,<0.2
C-292458,06co003,41.00214,-102.3801,17-Mar-06,farm,<0.02,5.6,1.71,1.52,2.37,0.51,1.34,0.06,0.2,<1,3,752,1.9,0.12,0.2,57,4.4,23,<5,14.4,12.4,0.03,34.2,19,321,0.75,11.2,8.7,640,23,90.4,0.53,5.6,1.5,246,<0.1,9.9,0.6,2.6,41,1,17.4,52,0.3
C-285225,06co004,40.92621,-108.84734,7-Sep-06,open range,<0.02,3.49,0.76,1.16,1.4,0.36,0.54,0.03,0.13,<1,5,468,1,0.12,0.2,31.7,3.8,22,<5,11.7,7.71,0.02,17.5,15,212,0.82,5,8.7,320,13.2,56.5,0.42,3.8,0.9,132,<0.1,7.1,0.3,1.6,34,0.5,10.4,31,<0.2
C-292487,06co005,40.97169,-107.71602,29-Jul-06,state land,<0.02,4.86,0.6,1.17,2.09,0.32,1.02,0.02,0.13,<1,3,761,1.2,0.13,0.3,69.1,4.9,24,<5,8.9,9.91,0.02,33.3,14,379,0.6,5.8,9.4,430,21.2,92.4,0.4,3.8,0.8,192,<0.1,12.6,0.6,2.1,34,0.4,11.5,35,<0.2
C-292235,06co006,40.98311,-105.53609,10-Jun-06,national forest,0.04,6.39,1.23,3.18,2.88,0.34,1.92,0.03,0.3,<1,5,"1,530",2.3,0.29,0.4,79.3,6.1,18,<5,12.4,18.3,0.09,34.2,20,"1,050",1.08,21.4,8.6,440,28.6,86.4,0.49,9.6,2.4,182,<0.1,8.5,0.5,2.4,29,1.2,38.3,124,0.2
C-292339,06co007,40.97345,-104.04816,9-Jun-06,idle,0.02,5.82,1.31,2.18,2.68,0.74,1.15,0.04,0.23,<1,5,728,2,0.23,0.4,76.4,7.4,31,<5,15.9,14.3,0.03,39.3,30,535,0.97,11.4,13.5,700,22.7,106,0.58,7.3,1.5,187,<0.1,12.7,0.7,3,59,0.9,21.6,64,0.4
C-290011,06co008,40.96439,-103.38132,16-Mar-06,ranch,<0.02,5.08,2.46,1.31,2.02,0.52,0.94,0.03,0.13,<1,7,639,1.8,0.32,0.4,57.9,5,15,<5,11.1,11.5,0.03,31.8,21,301,0.95,8.6,8.2,610,25.1,97.4,0.56,5.2,1.3,190,<0.1,10.6,0.7,2.4,34,1.1,13.7,71,<0.2
C-284692,06co009,40.96441,-103.02085,16-Mar-06,grassland,<0.02,5.37,1.04,1.77,2.49,0.46,1.22,0.03,0.19,<1,4,788,1.7,0.2,0.3,70.3,5.7,24,<5,11.2,13.5,0.03,38.3,18,419,0.73,10.2,9.5,500,31.7,104,0.6,6.7,1.4,224,<0.1,12.3,0.6,2.6,47,0.9,18,52,<0.2
C-292429,06co010,40.88977,-108.7467,7-Sep-06,open range,<0.02,3.03,3.87,1.19,1.24,0.89,0.45,0.02,0.11,<1,5,380,0.8,0.07,0.2,35.9,3.7,19,<5,6.3,6.65,<0.02,21.5,18,208,0.61,3.4,8.5,320,10.7,42.4,0.3,3.2,0.6,155,<0.1,5.7,0.3,1.2,37,0.7,7.7,29,<0.2
C-284940,06co011,40.9323,-108.53329,7-Sep-06,open range,<0.02,5.76,1.99,2.15,2.63,0.67,0.86,0.06,0.18,<1,8,665,1.3,0.17,0.3,100,8.8,35,<5,16.2,12.7,0.04,47.5,29,627,1.56,8.3,19,530,22,104,0.56,6,1.6,188,<0.1,19.3,0.7,3.1,53,0.8,15,66,0.3
C-285226,06co012,40.95365,-108.4809,7-Sep-06,open range,<0.02,6.11,1.39,1.74,2.46,0.67,1.1,0.04,0.23,<1,5,701,1.6,0.16,0.3,84.7,6,36,<5,15,13.1,0.04,42,26,386,1.29,7.6,14,510,22,110,0.47,6.8,1.6,165,<0.1,19.3,0.6,4.3,55,0.8,16.6,58,<0.2
C-292465,06co013,40.91399,-108.08698,7-Sep-06,open range,<0.02,4.65,1.84,1.2,2.45,0.41,0.96,0.02,0.14,<1,4,776,1.3,0.08,0.2,96.2,4.1,26,<5,7.7,9.77,0.02,50,14,332,0.61,5.6,9.2,550,20.8,92.9,0.38,4.4,0.9,203,<0.1,19.8,0.5,3.9,34,0.7,15.2,30,<0.2
C-285138,06co014,40.93296,-107.61646,30-Jul-06,BLM,<0.02,3.84,0.34,0.82,2.41,0.19,0.7,0.01,0.12,<1,3,688,1.1,0.1,0.3,55,4,18,<5,8,8.35,<0.02,27.1,12,219,0.53,5.5,8.2,370,26.5,103,0.33,3.5,0.7,137,<0.1,10,0.7,2,29,0.6,9.3,29,<0.2
C-292486,06co015,40.99562,-107.13119,30-Jul-06,pasture,0.02,6.07,1.49,2.35,1.86,0.81,1.41,0.04,0.28,<1,7,946,1.5,0.16,0.3,64.1,10,59,<5,19,12.9,0.04,32.2,20,534,0.82,9.5,28.4,810,18.7,71.9,0.45,7.7,1.2,386,<0.1,9,0.4,1.9,66,0.7,13.9,93,<0.2
C-284786,06co016,40.96405,-106.53178,1-Aug-06,national forest,0.02,5.9,1.23,3.09,2.31,1.04,1.29,0.03,0.27,<1,3,882,1.6,0.31,0.6,64.7,12,47,<5,36,15.7,0.06,30.6,23,"1,080",1.37,5,19.8,840,42,90.1,0.25,12.8,1.6,156,<0.1,9.8,0.5,2.4,78,1,16.8,164,0.2
C-292298,06co017,40.90876,-106.51501,1-Aug-06,BLM,<0.02,2.86,0.57,1.19,0.95,0.37,0.4,0.04,0.11,<1,5,385,0.9,0.13,0.2,49.2,4.4,24,<5,11.3,6.48,<0.02,27,20,316,0.66,4,8.1,370,15.7,37.4,0.38,4.7,0.6,94.2,<0.1,4.8,0.2,1.7,55,0.7,14.9,40,0.4
C-284931,06co018,40.92898,-104.16253,9-Jun-06,pasture,<0.02,5.95,1.37,1.79,2.48,0.63,1.12,0.03,0.17,<1,3,671,1.5,0.21,0.4,68.5,6.3,29,6,13.1,13.5,0.04,34.1,29,506,0.62,8.9,12.4,650,21.9,101,0.44,5.7,1.4,176,<0.1,11.4,0.7,2.1,46,0.9,16.5,68,<0.2
C-292452,06co019,40.91029,-102.55563,17-Mar-06,farm,<0.02,5.03,0.77,1.12,2.61,0.34,1.16,0.03,0.15,<1,2,790,1.6,3.93,0.2,55.1,3.7,17,<5,20,10.5,0.04,29.8,15,308,0.59,8.9,7,510,49.7,100,0.34,4.4,2.3,183,<0.1,10.3,0.6,2.2,31,0.8,16.4,48,0.2
C-285190,06co020,40.89217,-107.79117,29-Jul-06,BLM,<0.02,4.75,0.53,1.46,2.48,0.33,0.73,0.02,0.14,<1,4,670,1.4,0.13,0.2,80.8,5.9,27,<5,10.8,11.7,0.03,40.9,18,332,0.7,7.5,11.3,510,25.3,114,0.29,5.7,1.3,121,<0.1,15.5,0.7,3.1,38,0.7,12.4,48,<0.2
C-292205,06co021,40.89017,-106.97849,30-Jul-06,national forest,0.02,6.19,1.2,2.93,2.01,0.58,1.27,0.05,0.31,<1,10,937,2,0.19,0.3,66.2,12.9,58,6,19.3,14,0.03,32.1,24,807,1.35,9.8,24.1,"1,080",22,93,0.59,9.7,1.4,359,<0.1,9,0.6,2.3,84,0.9,16.2,71,0.3
C-285146,06co022,40.87177,-106.3037,1-Aug-06,BLM,<0.02,4.61,0.81,1.6,2.18,0.27,1.36,<0.01,0.18,<1,2,712,1.4,0.05,0.2,81.5,4.8,23,<5,6.3,10.6,0.02,42.6,8,432,0.49,7.4,7.6,450,24.4,84.7,0.24,5.6,0.7,208,<0.1,14.2,0.5,2.8,38,0.5,12.8,31,<0.2
C-284762,06co023,40.95619,-105.98134,2-Aug-06,open range,<0.02,5.77,1.45,3.38,2.29,0.52,1.93,0.01,0.2,<1,3,774,1.6,0.12,0.2,99,7.5,40,<5,11.7,14.3,0.03,49.9,12,471,0.67,8.7,14,550,17,75.7,0.27,8.3,1.2,266,<0.1,14.7,0.5,2.2,84,0.7,19.4,46,<0.2
C-292172,06co024,40.9067,-105.93808,2-Aug-06,open range,<0.02,6.9,1.32,2.44,3.18,0.37,2.33,0.01,0.19,<1,2,929,2.2,0.07,0.3,77.9,5.7,29,<5,9.9,16,0.03,39.4,14,418,0.76,12.3,10,440,24,93.8,0.23,5.9,1.5,281,<0.1,11.9,0.6,2.2,50,0.7,19.6,60,<0.2
C-285218,06co025,40.92028,-105.59937,10-Jun-06,national forest,<0.02,7.14,2.7,4.45,1.86,1.42,2.12,0.01,0.34,<1,2,567,2.2,0.16,0.1,55.3,23,74,<5,28.7,16.8,0.06,27.1,19,910,0.5,6.7,33.9,690,17,75.3,0.26,20,1.3,266,<0.1,6.1,0.5,1.7,120,1,22.5,79,<0.2
C-292345,06co026,40.88867,-105.45609,10-Jun-06,national forest,<0.02,5.85,1.25,2.32,2.96,0.62,2.08,0.03,0.21,<1,3,654,3.3,0.13,0.3,111,8,37,<5,17.7,17.1,0.04,63.5,22,609,0.69,17.4,16.6,720,18.6,130,0.29,8.2,3.2,133,<0.1,23.4,0.9,5.3,52,0.9,38.1,70,0.5
C-284783,06co027,40.90438,-104.92472,9-Jun-06,farm,0.02,5.79,1.17,1.89,2.32,0.68,0.92,0.04,0.19,<1,4,636,2.1,0.26,0.5,75,6.5,26,<5,13.7,15.6,0.05,38,25,466,1.27,10.8,11.7,690,27.3,119,0.53,7.1,1.8,170,<0.1,12.4,0.7,2.9,48,1,23.4,62,0.4
C-285106,06co028,40.86988,-104.65871,9-Jun-06,pasture,<0.02,6.12,0.96,2.04,2.62,0.41,1.03,0.03,0.18,<1,5,723,1.9,0.2,0.3,72.3,6.2,26,<5,13.9,14.3,0.04,37.2,19,294,0.8,9.6,13.9,580,20.7,103,0.56,6.8,1.4,162,<0.1,13,0.5,2,61,0.7,18.8,71,<0.2
C-290067,06co029,40.86976,-104.61335,9-Jun-06,pasture,<0.02,5.59,1.07,1.53,2.27,0.44,1.04,0.02,0.16,<1,4,819,1.5,0.16,0.2,56.7,5.2,25,<5,8.7,11.7,0.03,30.1,14,396,0.55,9.8,8,640,19.8,95.2,0.4,4.4,1.3,164,<0.1,8.9,0.6,2.2,38,0.7,15.8,50,<0.2
C-284838,06co030,40.89534,-104.21984,9-Jun-06,pasture,<0.02,5.95,1.97,1.19,2.9,0.55,1.53,0.01,0.13,<1,2,"1,110",1.8,0.13,0.1,48.1,4.9,13,<5,7.3,13.7,0.03,26.6,19,428,0.52,8.5,6.7,330,25.4,107,0.31,4.1,1,197,<0.1,7.2,0.7,2.2,34,1.1,12,31,<0.2
C-285166,06co031,40.89049,-103.68896,16-Mar-06,national grassland,<0.02,5.54,1.95,1.8,2.52,0.81,0.93,0.04,0.18,<1,4,730,2.1,0.21,0.3,72.5,6.3,24,<5,14.7,14.5,0.04,38.4,27,485,0.68,12.6,11,820,28.7,111,0.48,7.3,1.6,196,<0.1,14,0.8,2.8,48,1.2,18.5,65,0.2
C-290015,06co032,40.87671,-103.34357,16-Mar-06,open range,<0.02,6.13,2.15,1.71,2.29,0.76,1.03,0.03,0.18,<1,5,703,1.7,0.27,0.3,63.2,5.4,18,<5,12.4,13.1,0.04,33.5,28,425,0.83,11.2,9,770,23.5,104,0.5,5.8,1.4,247,<0.1,11.8,0.7,3.5,44,0.9,16.8,55,0.2
C-285048,06co033,40.86288,-103.11536,16-Mar-06,ranch,<0.02,5.91,2.71,1.54,1.93,0.73,1.25,0.03,0.14,<1,4,775,1.9,0.15,0.2,55.8,5.4,19,<5,12.9,13,0.03,31.6,36,474,0.53,8.8,11.2,910,29.1,83.3,0.39,4.5,1.7,278,<0.1,11.4,0.7,2.6,46,1.5,14.6,48,<0.2
C-284913,06co034,40.87216,-102.82925,16-Mar-06,farm,<0.02,5.85,1.91,1.77,2.06,0.61,1.26,0.02,0.2,<1,4,703,1.3,0.22,0.2,77.6,5.4,43,<5,10.4,13.3,0.03,40.1,21,366,0.86,10.7,13.5,560,22,108,0.47,5.4,1.5,263,<0.1,14.1,0.7,2.9,46,0.8,15.7,52,<0.2
C-292207,06co035,40.85144,-102.28619,17-Mar-06,farm,<0.02,6.2,1.39,1.94,2.57,0.53,1.25,0.03,0.24,<1,4,802,1.8,0.17,0.3,72.9,6.6,31,<5,11.9,13,0.02,38.3,21,443,0.79,11.5,11.8,610,19.6,97.5,0.57,6.7,1.4,256,<0.1,12.7,0.6,2.7,55,0.9,19.5,54,0.2
C-290122,06co036,40.85141,-102.151,17-Mar-06,farm,<0.02,5.68,1,1.41,3.18,0.44,1.37,0.03,0.2,<1,4,801,1.8,0.14,0.2,50,4.4,23,<5,13.6,12.2,0.03,27.9,18,354,0.5,10.5,10.1,510,21.6,111,0.42,4.8,1.2,202,<0.1,9.5,0.7,1.8,45,0.8,14.1,40,<0.2
C-285049,06co037,40.76188,-108.1824,7-Sep-06,open range,<0.02,6.51,2.32,2.67,2.4,0.99,0.73,0.04,0.23,<1,7,708,2,0.23,0.3,82.2,10.1,44,7,21.2,15.5,0.05,44.2,38,550,1.44,12,23.7,910,24,108,0.58,8.1,1.9,266,<0.1,16.3,0.6,3.6,75,1.1,16.3,79,0.2
C-292232,06co038,40.78988,-107.83965,29-Jul-06,BLM,<0.02,4.02,0.2,0.58,3.21,0.1,0.73,0.01,0.11,<1,1,778,0.7,0.05,<0.1,114,2.4,12,<5,5.2,7.47,<0.02,55,7,251,0.29,19.8,4,350,25.7,121,0.13,2.5,0.6,114,<0.1,23.5,0.7,3.2,14,0.5,12.3,15,<0.2
C-292284,06co039,41.00534,-107.29762,30-Jul-06,BLM,<0.02,4.08,1.85,1.96,1.75,0.75,0.21,0.03,0.16,<1,7,517,1.4,0.15,0.8,42.7,8.7,33,<5,21.5,9.22,0.02,22.9,26,490,0.83,5.7,22.6,600,19.3,63.2,0.97,5.6,1.1,107,<0.1,6.6,0.4,2.1,60,0.6,15.5,104,0.5
C-289984,06co040,40.87986,-106.45921,1-Aug-06,state wildlife refuge,<0.02,6.91,1.84,2.54,1.75,0.79,1.75,0.02,0.33,<1,4,"1,000",1.4,0.18,0.2,57.8,9.7,46,<5,15.1,14.1,0.04,29.8,15,667,0.66,7.4,16.4,450,18.1,67.9,0.35,11.7,1.1,248,<0.1,10.7,0.5,2.3,82,0.6,16.2,55,<0.2
C-290005,06co041,40.85928,-105.94942,2-Aug-06,national forest,<0.02,7.06,1.32,2.64,2.43,0.53,2.18,0.02,0.32,<1,2,826,2.3,0.13,0.1,119,9.2,55,<5,19.6,17.1,0.04,60.5,18,731,0.82,16.1,23.9,490,22.4,108,0.21,8.9,1.7,226,<0.1,21.2,0.6,3.5,77,0.7,20.7,55,<0.2
C-292405,06co042,40.83126,-103.86085,16-Mar-06,ranch,0.02,6.41,2.55,2.04,2.85,0.96,1.11,0.04,0.22,<1,4,763,2.2,0.23,0.5,71,6.8,24,<5,15.7,14.6,0.04,37.9,39,539,1.79,11.7,10.9,860,24.5,117,0.83,6.8,2.4,227,<0.1,15.1,0.8,3.5,53,1.2,21.6,74,0.4
C-284942,06co043,40.81848,-103.21046,16-Mar-06,ranch,<0.02,5.89,1.66,1.63,2.22,0.56,1.22,0.04,0.17,<1,4,748,1.3,0.22,0.4,75.9,5.2,24,<5,11.2,13.1,0.04,39.1,19,473,0.69,11.1,8.7,760,25.6,86,0.43,4.8,1.5,245,<0.1,14.3,0.7,2.4,43,0.8,16.4,202,0.2
C-285073,06co044,40.74977,-108.78687,7-Sep-06,BLM,<0.02,3.99,8.99,1.21,1.62,0.72,0.83,0.02,0.12,<1,3,529,1.1,0.07,0.3,53.9,4.2,20,<5,9,8.44,0.02,31,27,338,0.49,5.1,8.6,410,13,64.9,0.35,3.2,0.9,317,<0.1,9.4,0.5,2.2,32,0.5,11,28,<0.2
C-285045,06co045,40.79564,-108.11714,7-Sep-06,open range,<0.02,4.45,0.73,1.06,2.39,0.28,0.97,0.01,0.12,<1,3,695,1.2,0.05,0.2,69.4,4,18,<5,7.9,9.4,0.02,36.7,13,303,0.53,5.4,8.9,400,19.6,88.6,0.24,3.5,0.9,209,<0.1,14.4,0.5,2.7,29,0.5,10.4,28,<0.2
C-285174,06co046,40.77399,-107.54865,30-Jul-06,BLM,<0.02,4.15,0.6,1.45,1.95,0.32,0.7,0.02,0.17,<1,4,734,1.2,0.15,0.5,66.8,6.3,30,<5,12.8,9.87,0.03,35.3,15,346,0.78,6.7,13.7,560,23.4,77.2,0.47,5.6,1,170,<0.1,11,0.5,2.3,50,0.7,13.2,50,0.3
C-290089,06co047,40.81413,-106.96401,30-Jul-06,state park,<0.02,5.87,0.73,2.07,1.84,0.45,1.05,0.03,0.21,<1,7,"1,220",1.8,0.19,0.2,72.1,9.5,41,<5,13.1,12.6,0.03,35,22,761,0.84,9.3,19.3,800,23.7,84,0.69,5.5,1.2,338,<0.1,9.3,0.6,2.4,55,0.8,11.4,57,<0.2
C-284862,06co048,40.77256,-106.77186,30-Jul-06,national forest,0.08,5.2,1.36,2.6,1.32,0.77,0.93,0.05,0.24,<1,3,650,1.2,0.22,0.4,42,9.9,40,<5,19.6,11.8,0.04,22.9,23,"1,380",1,7.3,15.8,920,25.8,69.2,0.86,8.8,1.7,163,<0.1,6,0.4,1.8,72,0.8,12.2,97,0.3
C-290020,06co049,40.7994,-105.92918,2-Aug-06,national forest,<0.02,5.91,0.99,2.26,1.49,0.55,1.26,0.01,0.23,<1,3,672,1.6,0.19,0.2,53.1,9,36,<5,9.2,12.9,0.04,27.3,19,845,0.62,9.2,16.2,610,22,71.6,0.25,7.4,1.4,181,<0.1,8.6,0.6,2,49,0.5,11,65,<0.2
C-290106,06co050,40.79777,-105.62701,10-Jun-06,national forest,<0.02,6.99,1,2.79,1.94,0.47,2.11,0.02,0.33,<1,3,945,3.5,0.12,0.2,158,7.2,16,<5,7.5,17,0.05,74.7,14,591,0.86,30.3,7.9,"1,050",19.9,104,0.19,9.4,3.3,236,<0.1,25.8,0.7,8.5,44,0.5,26.9,73,<0.2
C-290114,06co051,40.79798,-105.286,10-Jun-06,pasture,<0.02,4.71,3.97,1.83,3.15,0.5,1.12,0.03,0.19,<1,3,"1,080",1.5,0.08,0.2,124,3.9,22,<5,12.8,12,0.05,59.5,21,503,1.17,11.8,10.1,380,19.9,92.9,0.15,5.9,1.4,115,<0.1,14.1,0.6,2.6,31,0.4,23.1,57,<0.2
C-290186,06co052,40.79782,-104.86726,9-Jun-06,pasture,<0.02,4.58,0.51,1.62,2.48,0.38,0.85,0.05,0.18,<1,5,"1,840",1.3,0.14,0.3,53.3,5.2,30,<5,11.7,10.4,0.03,27.9,16,293,0.75,9.1,12,440,23.5,82.1,0.54,4.7,1.1,117,<0.1,8.6,0.5,2,58,0.8,15.9,53,0.3
C-284801,06co053,40.76321,-102.76936,16-Mar-06,grassland,<0.02,5.02,0.66,0.9,2.7,0.19,1.32,0.02,0.11,<1,2,753,1.4,0.07,0.1,53.4,3.2,25,<5,4.7,11.3,<0.02,29.3,10,191,0.66,6.1,11.9,330,20.6,111,0.18,3.1,0.8,191,<0.1,8.7,0.6,1.7,24,0.6,11.2,24,<0.2
C-285113,06co054,40.76355,-102.45862,17-Mar-06,farm,<0.02,4.75,0.69,0.77,2.61,0.14,1.34,0.01,0.09,<1,2,757,1.4,0.07,0.1,38.2,2.1,13,<5,4.2,9.99,<0.02,23.4,6,175,0.32,5.8,4.1,310,19,97.9,0.19,2.5,0.5,189,<0.1,6.3,0.6,1.4,20,0.4,8.8,25,<0.2
C-284803,06co055,40.76165,-102.26755,17-Mar-06,farm,<0.02,5.7,1.65,1.73,2.45,0.58,1.05,0.03,0.19,<1,4,735,1.6,0.17,0.2,63.9,6.2,29,<5,12.7,13.8,0.04,33.2,23,336,0.9,7.8,16.2,590,20.6,111,0.5,6.5,1.4,208,<0.1,10.8,0.7,2.3,50,0.8,16.3,51,<0.2
C-284799,06co056,40.72659,-108.88758,7-Sep-06,national monument,<0.02,4.19,2.74,1.19,1.78,0.59,1.03,0.03,0.13,<1,4,682,1.1,0.09,0.2,51.2,4.9,39,<5,7.1,10,<0.02,27.8,23,281,1.01,5.7,18.1,630,14.1,66.7,0.27,4.5,0.8,279,<0.1,7.3,0.4,1.7,33,0.5,10.4,29,<0.2
C-290002,06co057,40.60867,-108.33493,7-Sep-06,wildlife area,<0.02,5.56,3.16,1.06,1.95,0.42,1.57,0.02,0.14,<1,2,814,1.3,0.14,<0.1,42.7,3.4,21,<5,7.7,11,<0.02,23.8,22,260,0.5,5.4,6.8,450,14.8,74.3,0.32,4,0.7,392,<0.1,7,0.4,2.1,42,0.4,9.2,41,<0.2
C-284770,06co058,40.7062,-107.39291,30-Jul-06,BLM,0.03,6.22,0.48,2.93,1.84,0.56,0.28,0.02,0.23,<1,6,731,1.7,0.26,0.4,82.6,11.9,54,5,19.7,14.8,0.05,41,29,492,1.19,8.3,28.2,380,19.6,94.5,0.95,11,1.6,133,<0.1,9.9,0.8,2.8,129,0.9,20.4,91,0.5
C-290060,06co059,40.75259,-106.82547,30-Jul-06,national forest,<0.02,6.66,1.58,3.44,1.47,0.9,1.31,0.04,0.3,<1,4,712,1.6,0.21,0.2,59.1,11.2,48,<5,30.4,14.7,0.05,37.1,24,753,1.03,9.1,18.6,740,18.5,68.8,0.39,12.4,1.6,182,<0.1,8.3,0.5,2.9,86,0.8,28,107,<0.2
C-292399,06co060,40.76251,-106.28133,1-Aug-06,idle,0.02,6.03,2.02,2.43,2.56,0.49,1.52,0.06,0.24,<1,3,715,1.8,0.12,0.3,102,7,32,<5,13.4,12.9,0.04,52.8,19,550,0.74,15.3,12.8,970,22.6,107,0.36,7.5,1.5,253,<0.1,18.6,0.6,4.2,57,1.4,18.1,63,<0.2
C-284906,06co061,40.75504,-104.98901,9-Jun-06,idle,0.02,5.17,2.12,2.08,2.22,0.78,0.86,0.04,0.17,<1,7,622,1.2,0.19,0.2,55.1,6.8,37,<5,14.5,11.8,0.03,27.7,24,295,1.07,9.2,16.4,710,26.8,78.8,0.68,6.4,1.2,166,<0.1,8.6,0.4,2.1,69,0.8,14.3,73,0.3
C-292470,06co062,40.75455,-104.55487,9-Jun-06,idle,<0.02,4.25,0.41,1.06,1.87,0.22,0.82,0.01,0.11,<1,4,706,1.3,0.08,0.1,40.7,3.8,15,<5,6.1,9.02,0.02,22.2,11,224,0.4,6.8,6.2,250,15.8,82.9,0.44,3.3,0.7,130,<0.1,6.6,0.5,1.3,34,0.5,10.7,30,<0.2
C-284834,06co063,40.72599,-104.35407,9-Jun-06,pasture,<0.02,3.49,0.38,0.91,2.08,0.17,0.68,0.02,0.12,<1,2,783,0.8,0.05,0.1,44.5,2.7,13,<5,4.2,7.47,<0.02,24.4,7,209,0.43,7.2,4.1,310,15.4,82.4,0.27,2.6,0.7,113,<0.1,6,0.5,1.3,27,0.4,9.3,25,<0.2
C-284787,06co064,40.71241,-104.16305,9-Jun-06,agriculture,<0.02,5.64,1.7,1.78,2.38,0.88,0.9,0.03,0.18,<1,3,711,1.9,0.24,0.3,77.8,6.8,24,<5,13.2,14.7,0.04,37.3,28,505,0.7,10.3,15.1,650,23,111,0.46,7,1.6,199,<0.1,12.1,0.7,2.2,44,0.9,19.8,51,0.2
C-292258,06co065,40.74418,-103.85909,16-Mar-06,ranch,0.02,5.05,2.58,1.69,2.53,0.62,0.78,0.03,0.18,<1,13,676,1.7,0.16,0.1,57,6.2,27,<5,11.2,11,0.02,29.9,20,395,0.44,8.6,10.1,770,19.1,95.1,0.72,5.8,1.3,167,<0.1,9.8,0.6,2,60,1,17,70,<0.2
C-292296,06co066,40.73011,-103.72632,16-Mar-06,national grassland,<0.02,5.62,1.12,1.6,2.77,0.56,1.38,0.02,0.2,<1,4,783,1.8,0.2,0.2,63.4,5.1,21,<5,10.3,13.3,0.02,33.1,21,384,0.67,11.3,9,460,24.9,107,0.49,5.3,1.2,216,<0.1,11.2,0.7,2.4,45,0.8,17.8,47,0.2
C-284781,06co067,40.70619,-102.0754,17-Mar-06,farm,<0.02,5.44,1.6,1.98,2.35,0.58,0.98,0.03,0.19,<1,4,752,1.5,0.2,0.3,67.5,6.3,30,<5,12.2,12.9,0.04,36.5,22,428,0.73,10.6,12.3,590,19.8,99.2,0.59,7,1.5,201,<0.1,11.7,0.6,2.3,54,1,18.4,56,<0.2
C-284950,06co068,40.63205,-108.38237,7-Sep-06,BLM,<0.02,6.45,3.32,1.65,2.6,0.81,1.55,0.03,0.18,<1,6,"1,020",1.5,0.16,0.2,63,8.1,48,<5,11.1,13.5,0.03,32.7,32,450,2.24,10.4,16.7,790,20.8,78.2,0.36,5.4,1.3,529,<0.1,10.3,0.5,2.3,48,0.7,14.1,43,<0.2
C-285099,06co069,40.66427,-107.81806,29-Jul-06,BLM,<0.02,4.58,0.31,1.57,2.12,0.25,0.47,0.02,0.14,<1,5,667,1.3,0.13,0.2,95.9,5.8,21,<5,10.3,10.5,0.03,46.9,14,225,0.86,6.3,11.4,430,22.8,99.4,0.45,5.2,1.1,112,<0.1,19.1,0.5,2.9,44,0.5,14.9,47,0.2
C-284872,06co070,40.65631,-107.03597,30-Jul-06,national forest,<0.02,3.77,0.28,1.04,2.06,0.13,0.22,0.02,0.12,<1,3,733,0.6,0.08,0.1,34.8,3.1,15,<5,6.4,7.11,<0.02,18,10,217,0.62,5.3,4.9,280,15.1,82.6,0.4,2.6,0.7,117,<0.1,4.8,0.5,1.2,29,0.4,6.6,24,<0.2
C-292309,06co071,40.71597,-106.29436,1-Aug-06,wildlife area,<0.02,6.39,1.08,2.73,2.35,0.72,1.75,0.03,0.29,<1,3,"1,040",1.7,0.16,0.3,58.9,11.2,41,<5,26.9,14.3,0.03,29.7,21,659,0.8,8.9,19.3,770,17.6,74.3,0.25,10.4,1.2,194,<0.1,8.1,0.4,3,70,0.9,17.8,96,0.4
C-284932,06co072,40.68858,-105.311,10-Jun-06,recreation,<0.02,6.94,2,3.53,2.29,0.89,1.28,0.03,0.3,<1,6,589,1.6,0.21,0.2,114,12.5,63,6,22.2,17.1,0.06,52.6,30,549,0.91,13,26.7,770,21.2,112,0.41,11.7,2.5,175,<0.1,26.3,0.7,3.4,85,1.2,19.8,78,<0.2
